Algorithm,Function,Value
DifferentialEvolution,griewank,1.8545516613425703
DifferentialEvolution,levy,80.6044674403753
DifferentialEvolution,michalewicz,-9.387739143294844
DifferentialEvolution,zakharov,799.1793749641868
DifferentialEvolution,ackley,17.62293211105015
FireflyAlgorithm,sphere,190.74853443643917
FireflyAlgorithm,schwefel,12411.484037762819
FireflyAlgorithm,rosenbrock,3841993.994158911
FireflyAlgorithm,rastrigin,408.5621671891933
FireflyAlgorithm,griewank,5.498189223820601
FireflyAlgorithm,levy,248.83805933803686
FireflyAlgorithm,michalewicz,-8.029908306063245
FireflyAlgorithm,zakharov,3898566.9320267304
FireflyAlgorithm,ackley,19.62746721404701
ParticleSwarmOptimization,sphere,2.095438992087451
ParticleSwarmOptimization,schwefel,11771.987010946812
ParticleSwarmOptimization,rosenbrock,2439.097637026193
ParticleSwarmOptimization,rastrigin,189.93271293942666
ParticleSwarmOptimization,griewank,1.07213794242301
ParticleSwarmOptimization,levy,14.437114479714209
ParticleSwarmOptimization,michalewicz,-11.140607565442787
ParticleSwarmOptimization,zakharov,653.9605774758567
ParticleSwarmOptimization,ackley,12.069386851786705
SelfOrganizingMigrationAlgorithm,sphere,21.766957101750567
SelfOrganizingMigrationAlgorithm,schwefel,11962.45037878753
SelfOrganizingMigrationAlgorithm,rosenbrock,115281.71493394357
SelfOrganizingMigrationAlgorithm,rastrigin,98.06951235357394
SelfOrganizingMigrationAlgorithm,griewank,1.6666361630061066
SelfOrganizingMigrationAlgorithm,levy,18.975918083221245
SelfOrganizingMigrationAlgorithm,michalewicz,-19.833930013434422
SelfOrganizingMigrationAlgorithm,zakharov,271.2631818377606
SelfOrganizingMigrationAlgorithm,ackley,14.862568322425536
TeachingLearningBasedOptimization,sphere,1.4827953017841318
TeachingLearningBasedOptimization,schwefel,12059.804143359645
TeachingLearningBasedOptimization,rosenbrock,809.1587681588597
TeachingLearningBasedOptimization,rastrigin,208.52345592868272
TeachingLearningBasedOptimization,griewank,1.0300446457300996
TeachingLearningBasedOptimization,levy,2.512834099450438
TeachingLearningBasedOptimization,michalewicz,-8.920286462519742
TeachingLearningBasedOptimization,zakharov,281.0652248217027
TeachingLearningBasedOptimization,ackley,5.497064461192746

DifferentialEvolution,sphere,29.4696595650579
DifferentialEvolution,schwefel,11934.512302048206
DifferentialEvolution,rosenbrock,265225.25192312297
DifferentialEvolution,rastrigin,300.42038603964573
DifferentialEvolution,griewank,2.382814451260245
DifferentialEvolution,levy,69.9608821844008
DifferentialEvolution,michalewicz,-8.685531387639651
DifferentialEvolution,zakharov,790.63491772985
DifferentialEvolution,ackley,16.93361827308354
FireflyAlgorithm,sphere,179.91678332108165
FireflyAlgorithm,schwefel,12330.912591128017
FireflyAlgorithm,rosenbrock,3880856.4734241506
FireflyAlgorithm,rastrigin,415.8716554724184
FireflyAlgorithm,griewank,4.655844087443685
FireflyAlgorithm,levy,165.32807500737826
FireflyAlgorithm,michalewicz,-7.829824336561462
FireflyAlgorithm,zakharov,951.6641533240942
FireflyAlgorithm,ackley,20.687621902611355
ParticleSwarmOptimization,sphere,3.401677605007697
ParticleSwarmOptimization,schwefel,11870.665265351843
ParticleSwarmOptimization,rosenbrock,1256.5355206384486
ParticleSwarmOptimization,rastrigin,212.4780432307149
ParticleSwarmOptimization,griewank,1.0714129484908124
ParticleSwarmOptimization,levy,10.95436761100584
ParticleSwarmOptimization,michalewicz,-9.940887512561208
ParticleSwarmOptimization,zakharov,639.3967367190961
ParticleSwarmOptimization,ackley,11.97771788261957
SelfOrganizingMigrationAlgorithm,sphere,33.939168651464385
SelfOrganizingMigrationAlgorithm,schwefel,12006.53451647575
SelfOrganizingMigrationAlgorithm,rosenbrock,109715.65478906143
SelfOrganizingMigrationAlgorithm,rastrigin,165.94102402555944
SelfOrganizingMigrationAlgorithm,griewank,1.5337995865213356
SelfOrganizingMigrationAlgorithm,levy,23.319306363043374
SelfOrganizingMigrationAlgorithm,michalewicz,-17.46280204424541
SelfOrganizingMigrationAlgorithm,zakharov,326.15574760219766
SelfOrganizingMigrationAlgorithm,ackley,14.91628038495845
TeachingLearningBasedOptimization,sphere,1.2403748237938277
TeachingLearningBasedOptimization,schwefel,11989.729349773963
TeachingLearningBasedOptimization,rosenbrock,774.4492766842599
TeachingLearningBasedOptimization,rastrigin,234.16377396898733
TeachingLearningBasedOptimization,griewank,1.003781210645109
TeachingLearningBasedOptimization,levy,2.7445293583751424
TeachingLearningBasedOptimization,michalewicz,-9.563652454205624
TeachingLearningBasedOptimization,zakharov,364.29503588352065
TeachingLearningBasedOptimization,ackley,7.730516058841291

DifferentialEvolution,sphere,43.9939501009461
DifferentialEvolution,schwefel,11906.988510991976
DifferentialEvolution,rosenbrock,354652.89926478366
DifferentialEvolution,rastrigin,276.9612725874464
DifferentialEvolution,griewank,1.902157190899353
DifferentialEvolution,levy,98.0332394368535
DifferentialEvolution,michalewicz,-9.23085851344714
DifferentialEvolution,zakharov,978.4816671710643
DifferentialEvolution,ackley,17.085067577289646
FireflyAlgorithm,sphere,180.4634184743996
FireflyAlgorithm,schwefel,12403.853598749645
FireflyAlgorithm,rosenbrock,2881520.7546582962
FireflyAlgorithm,rastrigin,402.4470084720243
FireflyAlgorithm,griewank,5.652594374890289
FireflyAlgorithm,levy,168.51664368474528
FireflyAlgorithm,michalewicz,-8.486694548941628
FireflyAlgorithm,zakharov,225100.82660313352
FireflyAlgorithm,ackley,20.762598375864176
ParticleSwarmOptimization,sphere,1.5294582394867438
ParticleSwarmOptimization,schwefel,11860.321445646316
ParticleSwarmOptimization,rosenbrock,5042.4928430963655
ParticleSwarmOptimization,rastrigin,216.75985316220607
ParticleSwarmOptimization,griewank,1.138483517341333
ParticleSwarmOptimization,levy,22.32664669887635
ParticleSwarmOptimization,michalewicz,-9.77310377156738
ParticleSwarmOptimization,zakharov,788.086859558495
ParticleSwarmOptimization,ackley,8.78612874262647
SelfOrganizingMigrationAlgorithm,sphere,24.249844834010407
SelfOrganizingMigrationAlgorithm,schwefel,12006.871627631514
SelfOrganizingMigrationAlgorithm,rosenbrock,53639.60718621864
SelfOrganizingMigrationAlgorithm,rastrigin,140.0488491439966
SelfOrganizingMigrationAlgorithm,griewank,1.711911381247805
SelfOrganizingMigrationAlgorithm,levy,25.66174503626425
SelfOrganizingMigrationAlgorithm,michalewicz,-18.00577713324061
SelfOrganizingMigrationAlgorithm,zakharov,348.1866269998752
SelfOrganizingMigrationAlgorithm,ackley,15.107358339613082
TeachingLearningBasedOptimization,sphere,1.3838239283300053
TeachingLearningBasedOptimization,schwefel,12112.864890805982
TeachingLearningBasedOptimization,rosenbrock,1141.2192531889118
TeachingLearningBasedOptimization,rastrigin,219.9988046386509
TeachingLearningBasedOptimization,griewank,1.0179265609846169
TeachingLearningBasedOptimization,levy,3.6577842357873664
TeachingLearningBasedOptimization,michalewicz,-9.40703971444458
TeachingLearningBasedOptimization,zakharov,377.7804980688342
TeachingLearningBasedOptimization,ackley,6.327838363493655

DifferentialEvolution,sphere,49.75646447577563
DifferentialEvolution,schwefel,11944.906923595714
DifferentialEvolution,rosenbrock,315170.80997208523
DifferentialEvolution,rastrigin,291.3179368719829
DifferentialEvolution,griewank,2.037336231773101
DifferentialEvolution,levy,87.68095104648162
DifferentialEvolution,michalewicz,-9.073653787802218
DifferentialEvolution,zakharov,969.9601969818875
DifferentialEvolution,ackley,18.868032977208014
